muni,2010,change10,2015,change15,2020,change20
Absecon ,8411,3.38, 8696 ,2.99, 8955 ,1.88
Atlantic City ,39558,-0.41, 39395 ,-0.38, 39246 ,0.87
Brigantine ,9450,-4.35, 9039 ,-4.15, 8664 ,0.87
Buena borough,4603,6.30, 4893 ,5.41, 5158 ,3.50
Buena Vista township,7570,0.60, 7616 ,0.55, 7657 ,0.33
Corbin City ,492,1.71, 500 ,1.54, 508 ,0.95
Egg Harbor township,43323,9.60, 47480 ,7.99, 51274 ,5.33
Egg Harbor City ,4243,-1.16, 4194 ,-1.07, 4149 ,0.87
Estell Manor ,1735,3.16, 1790 ,2.80, 1840 ,1.76
Folsom borough,1885,-0.77, 1871 ,-0.71, 1857 ,0.87
Galloway township,37349,6.58, 39806 ,5.63, 42048 ,3.65
Hamilton township,26503,9.79, 29098 ,8.14, 31467 ,5.44
Hammonton town,14791,5.80, 15649 ,5.00, 16432 ,3.22
Linwood ,7092,-0.19, 7078 ,-0.18, 7066 ,0.87
Longport borough,895,-2.63, 871 ,-2.46, 850 ,0.87
Margate City ,6354,-3.91, 6105 ,-3.72, 5879 ,0.87
Mullica township,6147,1.24, 6223 ,1.12, 6293 ,0.69
Northfield ,8624,3.89, 8960 ,3.42, 9266 ,2.16
Pleasantville ,20249,2.18, 20690 ,1.94, 21091 ,1.21
Port Republic ,1115,2.51, 1143 ,2.24, 1169 ,1.40
Somers Point ,10795,-1.23, 10662 ,-1.14, 10541 ,0.87
Ventnor City ,10650,-3.05, 10325 ,-2.87, 10029 ,0.87
Weymouth township,2715,6.78, 2899 ,5.80, 3067 ,3.77
Avalon borough,1334,-2.33, 1303 ,-7.28, 1208 ,0.65
Cape May ,3607,-0.65, 3583 ,-2.01, 3512 ,0.65
Cape May Point borough,291,2.59, 299 ,7.70, 322 ,5.16
Dennis township,6467,-0.02, 6465 ,-0.07, 6461 ,0.65
Lower township,22866,-0.02, 22861 ,-0.06, 22846 ,0.65
Middle township,18911,3.87, 19642 ,11.35, 21872 ,3.85
North Wildwood ,4041,-1.12, 3996 ,-3.45, 3858 ,0.65
Ocean City ,11701,-1.48, 11528 ,-4.57, 11002 ,0.65
Sea Isle City ,2114,-1.57, 2081 ,-4.86, 1980 ,0.65
Stone Harbor borough,866,-1.43, 854 ,-4.44, 816 ,0.65
Upper township,12373,1.73, 12587 ,5.17, 13237 ,1.72
West Cape May borough,1024,-0.40, 1020 ,-1.23, 1007 ,0.65
West Wildwood borough,603,4.33, 629 ,12.64, 709 ,5.17
Wildwood ,5325,-0.13, 5318 ,-0.38, 5298 ,0.65
Wildwood Crest borough,3270,-1.10, 3234 ,-3.40, 3124 ,0.65
Woodbine borough,2472,-0.55, 2458 ,-1.70, 2416 ,0.65
Bridgeton ,25349,4.75, 26552 ,4.22, 27674 ,3.96
Commercial township,5178,-0.27, 5164 ,-0.25, 5151 ,0.48
Deerfield township,3119,2.75, 3205 ,2.49, 3285 ,2.30
Downe township,1585,-0.49, 1577 ,-0.46, 1570 ,0.48
Fairfield township,6295,0.08, 6300 ,0.07, 6305 ,0.07
Greenwich township,804,-0.88, 797 ,-0.82, 790 ,0.48
Hopewell township,4571,1.30, 4630 ,1.19, 4685 ,1.08
Lawrence township,3290,8.77, 3578 ,7.51, 3847 ,5.13
Maurice River township,7976,6.34, 8482 ,5.56, 8953 ,3.71
Millville ,28400,2.43, 29089 ,2.21, 29731 ,2.03
Shiloh borough,516,-0.58, 513 ,-0.55, 510 ,0.48
Stow Creek township,1431,0.06, 1432 ,0.05, 1433 ,0.05
Upper Deerfield township,7660,0.58, 7704 ,0.53, 7745 ,0.48
Vineland ,60724,3.32, 62739 ,2.99, 64616 ,2.77
Alloway township,3467,8.35, 3757 ,5.81, 3975 ,6.08
Carneys Point township,8049,4.77, 8433 ,3.43, 8722 ,3.47
Elmer borough,1395,0.84, 1407 ,0.63, 1416 ,0.61
Elsinboro township,1036,-0.98, 1026 ,-0.74, 1018 ,0.42
Lower Alloways Creek township,1770,-0.43, 1762 ,-0.32, 1757 ,0.42
Mannington township,1806,5.21, 1900 ,3.73, 1971 ,3.79
Oldmans township,1773,0.40, 1780 ,0.30, 1785 ,0.29
Penns Grove borough,5147,3.69, 5337 ,2.68, 5480 ,2.69
Pennsville township,13409,6.32, 14257 ,4.48, 14896 ,3.91
Pilesgrove township,4016,2.42, 4113 ,1.78, 4186 ,1.76
Pittsgrove township,9393,5.55, 9914 ,3.96, 10307 ,4.04
Quinton township,2666,0.01, 2666 ,0.01, 2666 ,0.01
Salem ,5146,-0.86, 5102 ,-0.65, 5068 ,0.35
Upper Pittsgrove township,3505,1.84, 3570 ,1.36, 3618 ,1.34
Woodstown borough,3505,4.75, 3671 ,3.42, 3797 ,3.45
